Symbol,Name,Sector,Industry
MMM,3M,Industrials,Industrial Conglomerates
AOS,A. O. Smith,Industrials,Building Products
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ABBV,AbbVie,Health Care,Biotechnology
ACN,Accenture,Information Technology,IT Consulting & Other Services
ADBE,Adobe Inc.,Information Technology,Application Software
AMD,Advanced Micro Devices,Information Technology,Semiconductors
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AFL,Aflac,Financials,Life & Health Insurance
A,Agilent Technologies,Health Care,Life Sciences Tools & Services
APD,Air Products and Chemicals,Materials,Industrial Gases
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure
ALB,Albemarle Corporation,Materials,Specialty Chemicals
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
ALGN,Align Technology,Health Care,Health Care Supplies
ALLE,Allegion,Industrials,Building Products
LNT,Alliant Energy,Utilities,Electric Utilities
ALL,Allstate,Financials,Property & Casualty Insurance
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
MO,Altria,Consumer Staples,Tobacco
AMZN,Amazon,Consumer Discretionary,Broadline Retail
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials
AEE,Ameren,Utilities,Multi-Utilities
AAL,American Airlines Group,Industrials,Passenger Airlines
AEP,American Electric Power,Utilities,Electric Utilities
AXP,American Express,Financials,Consumer Finance
AIG,American International Group,Financials,Multi-line Insurance
AMT,American Tower,Real Estate,Telecom Tower REITs
AWK,American Water Works,Utilities,Water Utilities
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
AME,Ametek,Industrials,Electrical Components & Equipment
AMGN,Amgen,Health Care,Biotechnology
APH,Amphenol,Information Technology,Electronic Components
ADI,Analog Devices,Information Technology,Semiconductors
ANSS,Ansys,Information Technology,Application Software
AON,Aon,Financials,Insurance Brokers
APA,APA Corporation,Energy,Oil & Gas Exploration & Production
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ANET,Arista Networks,Information Technology,Communications Equipment
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AIZ,Assurant,Financials,Multi-line Insurance
T,AT&T,Communication Services,Integrated Telecommunication Services
ATO,Atmos Energy,Utilities,Gas Utilities
ADSK,Autodesk,Information Technology,Application Software
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services
AZO,AutoZone,Consumer Discretionary,Automotive Retail
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
AXON,Axon Enterprise,Industrials,Aerospace & Defense
